qualification,in_training,id
RN,1,401
DPT,1,402
DPT,1,403
MD,0,404
NP,1,405
DMD,1,406
RN,1,407
DMD,0,408
DO,1,409
DO,0,410
RN,1,411
DO,0,412
PharmD,0,413
RN,0,414
PharmD,0,415
MD,1,416
DMD,0,417
DC,1,418
PA,0,419
PharmD,0,420
PharmD,0,421
DC,1,422
DO,1,423
PharmD,1,424
DDS,1,425
DC,0,426
NP,0,427
PharmD,0,428
DMD,0,429
MD,1,430
DDS,0,431
DC,1,432
DPT,0,433
MD,1,434
PA,1,435
PA,0,436
MD,1,437
PA,0,438
PA,1,439
DPT,1,440
DMD,1,441
DO,0,442
DC,0,443
DO,1,444
PharmD,1,445
DMD,0,446
DMD,1,447
DC,0,448
PharmD,1,449
DMD,1,450
DMD,0,451
PharmD,0,452
DO,1,453
MD,1,454
PharmD,0,455
DMD,0,456
PA,0,457
MD,0,458
DDS,0,459
RN,0,460
DDS,0,461
PA,0,462
DMD,1,463
PharmD,0,464
PharmD,1,465
PharmD,0,466
PharmD,1,467
DDS,1,468
DDS,0,469
NP,0,470
DMD,1,471
PA,0,472
DPT,1,473
RN,0,474
RN,1,475
NP,0,476
NP,0,477
DPT,1,478
PharmD,0,479
DMD,1,480
DDS,0,481
DDS,1,482
PA,0,483
DMD,0,484
RN,0,485
DPT,0,486
DDS,1,487
DDS,0,488
DO,0,489
PharmD,0,490
MD,1,491
PA,1,492
DO,0,493
DPT,0,494
MD,0,495
DC,0,496
DC,1,497
DMD,0,498
PA,1,499
NP,0,500
NP,0,501
DO,1,502
DO,1,503
DC,0,504
RN,1,505
DC,1,506
DC,0,507
DPT,0,508
DDS,0,509
DO,0,510
DPT,1,511
MD,0,512
DO,1,513
DPT,1,514
NP,1,515
PharmD,1,516
DPT,0,517
DDS,1,518
DMD,1,519
RN,1,520
DC,0,521
DPT,0,522
PharmD,1,523
PA,0,524
DO,0,525
PharmD,1,526
PA,1,527
PharmD,0,528
DO,0,529
DPT,0,530
PharmD,1,531
NP,0,532
PA,1,533
DDS,0,534
RN,0,535
PharmD,1,536
DMD,1,537
PA,1,538
PharmD,1,539
DMD,0,540
DO,1,541
PA,0,542
DPT,1,543
DC,0,544
NP,1,545
DC,1,546
DPT,1,547
DO,1,548
PharmD,0,549
DC,1,550
PA,1,551
DO,1,552
PA,1,553
DMD,0,554
DMD,0,555
MD,1,556
NP,1,557
NP,0,558
DO,1,559
PA,1,560
DDS,1,561
DO,1,562
PharmD,1,563
RN,0,564
RN,0,565
DO,1,566
NP,1,567
PA,1,568
DPT,0,569
NP,1,570
DMD,0,571
DMD,0,572
DMD,1,573
RN,0,574
DDS,1,575
DMD,1,576
NP,1,577
PharmD,0,578
PharmD,1,579
MD,1,580
MD,1,581
PharmD,0,582
PA,1,583
PharmD,0,584
DDS,0,585
NP,1,586
RN,0,587
MD,1,588
DC,0,589
MD,0,590
DDS,0,591
DO,0,592
NP,1,593
DC,1,594
DO,1,595
RN,1,596
DC,1,597
PharmD,0,598
DMD,0,599
MD,0,600
DPT,0,601
PA,1,602
DO,1,603
RN,1,604
DMD,1,605
DO,1,606
DPT,1,607
DMD,1,608
DO,0,609
DPT,0,610
NP,1,611
DO,0,612
PA,1,613
RN,1,614
DDS,1,615
RN,0,616
DDS,1,617
DDS,1,618
PharmD,0,619
DMD,1,620
DDS,0,621
DPT,1,622
DMD,1,623
MD,1,624
MD,1,625
MD,0,626
PA,1,627
PA,1,628
DO,1,629
PharmD,1,630
DPT,0,631
PharmD,1,632
MD,0,633
RN,0,634
DMD,1,635
PharmD,1,636
DPT,1,637
PA,1,638
PA,1,639
PA,0,640
NP,0,641
DDS,0,642
DPT,0,643
RN,1,644
DDS,0,645
DO,1,646
PA,1,647
PharmD,1,648
NP,0,649
DO,0,650
MD,1,651
DC,1,652
DDS,1,653
RN,0,654
DC,0,655
PA,0,656
DDS,1,657
DPT,1,658
DC,1,659
PA,1,660
DMD,1,661
DDS,1,662
DO,1,663
DDS,0,664
MD,0,665
NP,0,666
MD,0,667
DO,1,668
DMD,0,669
DPT,1,670
DMD,1,671
RN,1,672
DC,0,673
PharmD,0,674
DPT,0,675
DPT,0,676
DDS,1,677
MD,0,678
PA,1,679
RN,0,680
NP,1,681
DC,1,682
DO,0,683
NP,0,684
DO,0,685
DO,0,686
DPT,1,687
RN,0,688
DMD,0,689
RN,1,690
DDS,0,691
DMD,0,692
MD,0,693
DDS,0,694
DDS,1,695
DDS,0,696
PA,1,697
RN,0,698
DO,1,699
PharmD,1,700
DO,0,701
DDS,1,702
DC,0,703
RN,1,704
DDS,1,705
DDS,0,706
PA,1,707
DMD,0,708
DDS,0,709
MD,1,710
DDS,0,711
RN,1,712
NP,0,713
DMD,0,714
DC,1,715
PharmD,1,716
PA,1,717
NP,1,718
DO,0,719
DO,0,720
PharmD,0,721
PharmD,1,722
MD,0,723
PA,0,724
DC,1,725
RN,0,726
NP,1,727
DPT,0,728
DMD,1,729
PA,1,730
DDS,0,731
PA,1,732
PharmD,0,733
MD,0,734
DMD,0,735
DC,1,736
DPT,0,737
DO,1,738
DMD,1,739
MD,0,740
RN,1,741
DPT,1,742
NP,1,743
PA,1,744
DO,1,745
DDS,0,746
DO,0,747
DPT,1,748
DMD,1,749
NP,0,750
MD,0,751
DMD,1,752
RN,0,753
DDS,0,754
PharmD,1,755
RN,0,756
RN,1,757
PharmD,1,758
DDS,1,759
DDS,1,760
MD,1,761
DDS,1,762
MD,0,763
DMD,0,764
DPT,1,765
DDS,1,766
NP,0,767
PA,1,768
PharmD,0,769
DO,0,770
MD,0,771
MD,0,772
DO,1,773
RN,1,774
DMD,0,775
DPT,1,776
DMD,0,777
DC,0,778
DDS,1,779
DMD,1,780
DC,1,781
DMD,0,782
DDS,1,783
NP,0,784
DMD,0,785
DPT,0,786
PharmD,1,787
NP,0,788
DC,0,789
PharmD,0,790
DMD,1,791
PA,0,792
RN,0,793
MD,1,794
DPT,0,795
DMD,0,796
DO,1,797
DPT,1,798
DMD,0,799
DO,0,800
