nickname,soliders_affection,security_clearance,id
Pavla,9,1,801
Bendix,1,4,802
Ibrahim,6,2,803
Denice,7,5,804
Mable,1,5,805
Dorthea,9,4,806
Gayler,4,5,807
Toby,1,1,808
Nathan,7,3,809
Arden,10,5,810
Danette,5,2,811
Raine,2,1,812
Ivett,8,2,813
Wesley,3,5,814
Willi,2,5,815
Penni,8,3,816
Jozef,10,2,817
Moselle,1,2,818
Dudley,5,5,819
Jerry,1,1,820
Allina,6,1,821
Ermanno,1,2,822
Claire,2,3,823
Chantal,1,2,824
Marje,4,2,825
Aluino,9,3,826
Fons,5,2,827
Clair,3,3,828
Lorie,2,4,829
Sharon,6,4,830
Felice,10,3,831
Norma,6,5,832
Gallard,1,1,833
Nina,6,5,834
Ruthie,6,3,835
Gilberte,3,3,836
Carmelita,8,4,837
Claiborn,4,1,838
Melanie,5,4,839
Archibold,9,1,840
Abbi,4,3,841
Jarib,8,3,842
Doralynne,5,4,843
Elizabeth,9,3,844
Joby,7,1,845
Zora,9,5,846
Nicole,9,1,847
Nicholle,6,1,848
Lucas,1,1,849
Gay,1,3,850
Storm,1,3,851
Alphonso,9,2,852
Delcina,1,3,853
Janeta,8,4,854
Cleon,9,3,855
Gerladina,10,1,856
Waldemar,2,3,857
Sascha,4,1,858
Rozalie,6,1,859
Vinson,2,4,860
Wildon,2,5,861
Tobiah,8,3,862
Cherilyn,10,1,863
Danny,10,3,864
Wit,9,5,865
Pinchas,2,2,866
Gill,7,1,867
Lucila,8,1,868
Sloane,2,4,869
Daniele,3,3,870
Alick,3,4,871
Barnabe,8,5,872
Alexander,1,4,873
Thorin,9,1,874
Rori,1,1,875
Karleen,4,2,876
Sarina,2,2,877
Lola,7,5,878
Cecily,6,2,879
Aloise,2,3,880
Dru,3,1,881
Kermie,9,3,882
Weidar,4,4,883
Candra,4,1,884
Karissa,9,4,885
Piper,2,5,886
Portia,1,3,887
Byrann,1,2,888
Morry,6,3,889
Otes,6,1,890
Michelle,8,4,891
Joelly,2,5,892
Gianna,10,2,893
Melva,3,1,894
Marnie,6,2,895
Sibley,2,2,896
Ebenezer,8,1,897
Hadley,8,3,898
Reese,3,5,899
Barnabe,3,2,900
Sheffield,4,1,901
Thibaud,8,2,902
Bell,7,4,903
Pen,2,2,904
Garnet,1,4,905
Baryram,1,3,906
Guillaume,8,1,907
Wenda,3,4,908
Windham,4,2,909
Rhianna,9,4,910
Corbin,8,1,911
Merla,1,3,912
Garland,6,2,913
Chere,1,4,914
Manda,7,4,915
Tedman,7,1,916
Mason,6,5,917
Cleveland,7,2,918
Wernher,8,1,919
Aldon,3,2,920
Thorstein,9,3,921
Fredia,9,2,922
Normie,6,2,923
Adaline,6,2,924
Flss,5,2,925
Oran,8,2,926
Daniela,1,4,927
Lainey,7,1,928
Doll,5,3,929
Sidoney,6,1,930
Heda,8,5,931
Brander,5,5,932
Danica,6,5,933
Paula,5,1,934
Marin,4,3,935
Mikael,2,3,936
Joell,3,4,937
