certified_Rabbi,Payytan,sector,ethnicity,preacher,id
1,1,Haredi-Litai,Ashkenazi,1,1
0,1,Haredi-Litai,Sphard,1,2
0,1,Haredi-Hasidic,Ashkenazi,1,3
0,1,Haredi-Hasidic,Edot-Mizrah,1,4
0,1,Religious Zionism,Sphard,0,5
1,0,Haredi-Hasidic,Sphard,0,6
1,0,Religious Zionism,Edot-Mizrah,1,7
1,0,Religious Zionism,Sphard,0,8
0,0,Haredi-Litai,Edot-Mizrah,0,9
0,0,Haredi-Hasidic,Ashkenazi,1,10
0,1,Religious Zionism,Sphard,0,11
0,0,Haredi-Hasidic,Edot-Mizrah,1,12
1,0,Haredi-Hasidic,Sphard,0,13
0,0,Haredi-Litai,Sphard,1,14
0,1,Religious Zionism,Sphard,1,15
1,0,Haredi-Litai,Sphard,0,16
1,1,Haredi-Litai,Edot-Mizrah,1,17
0,1,Haredi-Hasidic,Sphard,1,18
0,0,Religious Zionism,Sphard,1,19
1,0,Haredi-Hasidic,Sphard,0,20
0,1,Religious Zionism,Sphard,1,21
1,1,Religious Zionism,Ashkenazi,1,22
1,0,Haredi-Litai,Sphard,1,23
1,0,Haredi-Litai,Sphard,1,24
0,0,Haredi-Litai,Sphard,0,25
1,0,Haredi-Litai,Ashkenazi,1,26
0,1,Haredi-Hasidic,Edot-Mizrah,0,27
1,0,Haredi-Litai,Edot-Mizrah,0,28
0,0,Haredi-Litai,Ashkenazi,0,29
1,1,Haredi-Hasidic,Edot-Mizrah,0,30
1,1,Religious Zionism,Edot-Mizrah,0,31
1,1,Religious Zionism,Sphard,0,32
0,0,Haredi-Litai,Edot-Mizrah,1,33
0,0,Haredi-Hasidic,Sphard,1,34
0,0,Haredi-Hasidic,Edot-Mizrah,0,35
0,1,Religious Zionism,Edot-Mizrah,1,36
1,1,Haredi-Litai,Edot-Mizrah,1,37
1,1,Haredi-Hasidic,Edot-Mizrah,0,38
0,0,Haredi-Hasidic,Edot-Mizrah,1,39
0,0,Religious Zionism,Ashkenazi,1,40
0,0,Haredi-Hasidic,Sphard,1,41
1,1,Haredi-Litai,Ashkenazi,0,42
0,0,Haredi-Litai,Edot-Mizrah,0,43
1,0,Haredi-Litai,Sphard,1,44
0,0,Haredi-Litai,Ashkenazi,1,45
0,0,Haredi-Litai,Edot-Mizrah,1,46
1,0,Haredi-Hasidic,Edot-Mizrah,0,47
1,0,Religious Zionism,Edot-Mizrah,1,48
0,1,Haredi-Litai,Sphard,1,49
0,1,Haredi-Litai,Edot-Mizrah,1,50
1,1,Haredi-Litai,Ashkenazi,0,51
1,0,Religious Zionism,Ashkenazi,0,52
1,0,Religious Zionism,Edot-Mizrah,1,53
1,1,Haredi-Litai,Ashkenazi,1,54
0,0,Religious Zionism,Edot-Mizrah,0,55
0,1,Religious Zionism,Sphard,0,56
0,1,Haredi-Litai,Ashkenazi,0,57
1,1,Religious Zionism,Edot-Mizrah,0,58
0,0,Religious Zionism,Sphard,1,59
0,0,Religious Zionism,Sphard,1,60
1,1,Religious Zionism,Ashkenazi,0,61
1,1,Religious Zionism,Ashkenazi,1,62
0,0,Haredi-Litai,Edot-Mizrah,0,63
1,1,Haredi-Hasidic,Ashkenazi,1,64
0,1,Religious Zionism,Sphard,1,65
0,1,Haredi-Litai,Edot-Mizrah,1,66
0,1,Haredi-Litai,Sphard,0,67
0,0,Haredi-Hasidic,Ashkenazi,1,68
0,1,Haredi-Hasidic,Ashkenazi,0,69
0,1,Haredi-Hasidic,Edot-Mizrah,0,70
0,0,Religious Zionism,Sphard,0,71
1,1,Haredi-Hasidic,Ashkenazi,0,72
0,0,Haredi-Hasidic,Ashkenazi,0,73
1,1,Haredi-Hasidic,Sphard,0,74
0,1,Haredi-Litai,Sphard,1,75
1,1,Haredi-Litai,Sphard,0,76
0,1,Haredi-Litai,Edot-Mizrah,0,77
1,0,Religious Zionism,Sphard,0,78
0,0,Religious Zionism,Sphard,0,79
0,0,Religious Zionism,Edot-Mizrah,1,80
1,1,Haredi-Hasidic,Ashkenazi,0,81
1,1,Haredi-Hasidic,Ashkenazi,0,82
1,0,Religious Zionism,Edot-Mizrah,1,83
1,0,Haredi-Hasidic,Sphard,1,84
1,1,Haredi-Hasidic,Sphard,1,85
1,0,Religious Zionism,Edot-Mizrah,1,86
1,1,Religious Zionism,Sphard,1,87
0,0,Haredi-Litai,Sphard,0,88
0,1,Haredi-Hasidic,Sphard,1,89
1,0,Religious Zionism,Ashkenazi,0,90
1,0,Religious Zionism,Sphard,1,91
1,1,Religious Zionism,Ashkenazi,0,92
