operation_date,location,operation_id,commander_id,medic_id,team_number
3/21/2015,China,2358239,801,401,1
10/22/2016,Brazil,2358240,802,402,2
10/10/2003,Russia,2358241,803,403,3
12/14/2010,China,2358242,804,404,4
3/5/2007,Japan,2358243,805,405,5
2/6/2003,Brazil,2358244,806,406,6
8/30/2005,Russia,2358245,807,407,7
5/24/2005,China,2358246,808,408,8
2/2/2001,South Africa,2358247,809,409,9
7/2/2008,Poland,2358248,810,410,10
6/19/2004,Indonesia,2358249,811,411,11
3/13/2020,Czech Republic,2358250,812,412,12
7/31/2006,China,2358251,813,413,13
6/28/2013,Colombia,2358252,814,414,14
2/28/2011,Pakistan,2358253,815,415,15
7/31/2003,France,2358254,816,416,16
7/30/2013,Philippines,2358255,817,417,17
10/17/2007,Iraq,2358256,818,418,18
12/5/2011,France,2358257,819,419,19
6/25/2010,Panama,2358258,820,420,20
4/14/2014,Portugal,2358259,821,421,21
4/26/2016,Brazil,2358260,822,422,22
11/25/2011,Chile,2358261,823,423,23
1/21/2012,China,2358262,824,424,24
5/28/2014,China,2358263,825,425,25
10/13/2005,Macedonia,2358264,826,426,26
10/2/2002,Philippines,2358265,827,427,27
12/26/2003,China,2358266,828,428,28
1/10/2010,China,2358267,829,429,29
3/7/2017,Portugal,2358268,830,430,30
4/1/2020,Czech Republic,2358269,831,431,31
6/28/2021,China,2358270,832,432,32
9/20/2000,Indonesia,2358271,833,433,33
2/20/2013,United States,2358272,834,434,34
3/16/2007,Brazil,2358273,835,435,35
2/14/2005,Guinea,2358274,836,436,36
12/12/2018,Indonesia,2358275,837,437,37
7/15/2005,Lithuania,2358276,838,438,38
5/17/2016,Philippines,2358277,839,439,39
9/11/2005,Morocco,2358278,840,440,40
11/12/2020,United States,2358279,841,441,41
2/3/2010,Brazil,2358280,842,442,42
10/22/2005,France,2358281,843,443,43
12/27/2022,Philippines,2358282,844,444,44
11/2/2007,Czech Republic,2358283,845,445,45
6/30/2018,Portugal,2358284,846,446,46
12/12/2013,China,2358285,847,447,47
2/5/2009,China,2358286,848,448,48
11/13/2019,Thailand,2358287,849,449,49
7/6/2012,Germany,2358288,850,450,50
6/25/2017,Russia,2358289,851,451,51
9/16/2012,Indonesia,2358290,852,452,52
4/4/2001,Russia,2358291,853,453,53
3/11/2006,Indonesia,2358292,854,454,54
11/12/2009,China,2358293,855,455,55
12/16/2010,Canada,2358294,856,456,56
11/16/2005,Czech Republic,2358295,857,457,57
2/21/2009,Armenia,2358296,858,458,58
11/16/2003,Somalia,2358297,859,459,59
4/16/2022,Russia,2358298,860,460,60
8/9/2005,Yemen,2358299,861,461,61
11/8/2007,Poland,2358300,862,462,62
10/23/2005,Indonesia,2358301,863,463,63
3/12/2011,Russia,2358302,864,464,64
9/7/2004,Brazil,2358303,865,465,65
1/7/2008,Chile,2358304,866,466,66
6/15/2015,Canada,2358305,867,467,67
9/29/2001,China,2358306,868,468,68
11/8/2021,Colombia,2358307,869,469,69
4/20/2017,China,2358308,870,470,70
7/12/2014,Poland,2358309,871,471,71
1/24/2014,Thailand,2358310,872,472,72
4/23/2021,China,2358311,873,473,73
8/15/2006,Slovenia,2358312,874,474,74
7/15/2001,Israel,2358313,875,475,75
5/1/2017,China,2358314,876,476,76
4/10/2021,China,2358315,877,477,77
3/18/2008,Brazil,2358316,878,478,78
1/9/2008,Indonesia,2358317,879,479,79
8/10/2012,Philippines,2358318,880,480,80
3/16/2005,Thailand,2358319,881,481,81
3/15/2003,Czech Republic,2358320,882,482,82
4/28/2017,China,2358321,883,483,83
2/10/2011,Indonesia,2358322,884,484,84
1/19/2010,Madagascar,2358323,885,485,85
5/17/2019,Indonesia,2358324,886,486,86
11/6/2012,China,2358325,887,487,87
12/18/2022,Philippines,2358326,888,488,88
9/30/2013,Poland,2358327,889,489,89
6/22/2017,Brazil,2358328,890,490,90
12/5/2005,Colombia,2358329,891,491,91
2/16/2019,France,2358330,892,492,92
5/1/2019,Peru,2358331,893,493,93
9/21/2014,France,2358332,894,494,94
4/24/2004,France,2358333,895,495,95
2/4/2006,Indonesia,2358334,896,496,96
11/16/2021,Ukraine,2358335,897,497,97
1/9/2006,Macedonia,2358336,898,498,98
7/13/2004,Russia,2358337,899,499,99
8/25/2021,Iran,2358338,900,500,100
11/27/2014,China,2358339,901,501,101
3/10/2005,Panama,2358340,902,502,102
5/26/2014,Ethiopia,2358341,903,503,103
4/26/2003,Poland,2358342,904,504,104
5/14/2009,Philippines,2358343,905,505,105
10/6/2004,Malaysia,2358344,906,506,106
11/1/2022,Colombia,2358345,907,507,107
7/28/2006,China,2358346,908,508,108
9/26/2016,Vietnam,2358347,909,509,109
6/2/2003,Indonesia,2358348,910,510,110
2/27/2002,Mongolia,2358349,911,511,111
9/6/2006,France,2358350,912,512,112
3/15/2019,Japan,2358351,913,513,113
7/31/2002,China,2358352,914,514,114
7/18/2005,China,2358353,915,515,115
8/15/2021,Nigeria,2358354,916,516,116
8/17/2014,China,2358355,917,517,117
11/29/2013,Russia,2358356,918,518,118
5/24/2013,Indonesia,2358357,919,519,119
8/26/2001,China,2358358,920,520,120
10/19/2013,Russia,2358359,921,521,121
11/3/2018,China,2358360,922,522,122
10/12/2017,China,2358361,923,523,123
3/16/2020,Indonesia,2358362,924,524,124
5/26/2019,Vietnam,2358363,925,525,125
1/26/2016,Portugal,2358364,926,526,126
5/5/2011,Poland,2358365,927,527,127
8/14/2004,Peru,2358366,928,528,128
9/18/2014,Nigeria,2358367,929,529,129
4/9/2007,China,2358368,930,530,130
10/2/2015,China,2358369,931,531,131
11/7/2011,China,2358370,932,532,132
1/8/2019,Colombia,2358371,933,533,133
5/23/2010,Ukraine,2358372,934,534,134
11/19/2021,Philippines,2358373,935,535,135
3/30/2006,Belarus,2358374,936,536,136
5/5/2008,Philippines,2358375,937,537,137
11/21/2006,French Guiana,2358376,938,538,138
8/17/2017,Argentina,2358377,939,539,139
1/8/2013,Mongolia,2358378,940,540,140
2/26/2015,United States,2358379,941,541,141
4/27/2013,Ukraine,2358380,942,542,142
8/3/2011,Indonesia,2358381,943,543,143
9/4/2019,China,2358382,944,544,144
12/26/2003,China,2358383,945,545,145
3/25/2014,China,2358384,946,546,146
7/8/2003,Indonesia,2358385,947,547,147
2/3/2005,Ireland,2358386,948,548,148
8/24/2012,Indonesia,2358387,949,549,149
3/23/2008,Ukraine,2358388,950,550,150
4/25/2004,Indonesia,2358389,951,551,151
11/20/2022,Czech Republic,2358390,952,552,152
2/19/2006,Brazil,2358391,953,553,153
2/17/2007,Philippines,2358392,954,554,154
7/31/2006,Cuba,2358393,955,555,155
9/9/2019,Japan,2358394,956,556,156
3/22/2009,South Africa,2358395,957,557,157
11/4/2021,Brazil,2358396,958,558,158
9/27/2003,Thailand,2358397,959,559,159
10/28/2018,China,2358398,960,560,160
12/13/2012,China,2358399,961,561,161
12/23/2011,Portugal,2358400,962,562,162
12/1/2015,Russia,2358401,963,563,163
2/27/2005,Madagascar,2358402,964,564,164
12/2/2016,Thailand,2358403,965,565,165
1/21/2021,United States,2358404,966,566,166
1/21/2003,Philippines,2358405,967,567,167
10/12/2001,Philippines,2358406,968,568,168
4/13/2008,Albania,2358407,969,569,169
8/19/2008,Mexico,2358408,970,570,170
9/14/2005,France,2358409,971,571,171
12/29/2022,Nicaragua,2358410,972,572,172
6/26/2021,Belarus,2358411,973,573,173
6/10/2002,China,2358412,974,574,174
9/26/2013,Philippines,2358413,975,575,175
5/1/2020,Mexico,2358414,976,576,176
7/17/2014,Indonesia,2358415,977,577,177
5/3/2006,Iran,2358416,978,578,178
1/24/2014,Czech Republic,2358417,979,579,179
3/20/2015,Colombia,2358418,980,580,180
12/24/2011,Cuba,2358419,981,581,181
8/25/2019,Brazil,2358420,982,582,182
11/6/2017,Ukraine,2358421,983,583,183
4/27/2012,China,2358422,984,584,184
1/15/2016,China,2358423,985,585,185
5/13/2015,Norway,2358424,986,586,186
5/26/2011,Poland,2358425,987,587,187
3/15/2012,Greece,2358426,988,588,188
12/2/2008,Myanmar,2358427,989,589,189
