responsibility,team_number,id
engineer,1,279
communications specialist,2,48
sniper,3,674
scout,4,1154
reconnaissance,5,293
sharpshooter,6,1049
sharpshooter,7,826
reconnaissance,8,680
demolition expert,9,50
engineer,10,882
reconnaissance,11,803
reconnaissance,12,945
sniper,13,270
engineer,14,414
scout,15,967
marksman,16,477
communications specialist,17,401
communications specialist,18,687
grenadier,19,988
sniper,20,1135
engineer,21,575
communications specialist,22,734
reconnaissance,23,443
grenadier,24,379
marksman,25,492
sharpshooter,26,282
communications specialist,27,691
sniper,28,1035
engineer,29,1130
sharpshooter,30,188
scout,31,597
marksman,32,933
communications specialist,33,1146
grenadier,34,1062
scout,35,282
sharpshooter,36,704
demolition expert,37,124
grenadier,38,771
marksman,39,676
sniper,40,374
communications specialist,41,136
heavy gunner,42,152
engineer,43,480
grenadier,44,567
scout,45,516
grenadier,46,218
marksman,47,673
heavy gunner,48,719
demolition expert,49,1191
demolition expert,50,122
sniper,51,977
sharpshooter,52,1148
communications specialist,53,48
sharpshooter,54,852
scout,55,488
sniper,56,392
marksman,57,221
marksman,58,246
reconnaissance,59,477
grenadier,60,645
demolition expert,61,985
marksman,62,18
sharpshooter,63,769
demolition expert,64,431
sniper,65,316
reconnaissance,66,665
sniper,67,712
communications specialist,68,185
demolition expert,69,509
engineer,70,17
demolition expert,71,1031
grenadier,72,947
engineer,73,1176
heavy gunner,74,1010
reconnaissance,75,182
communications specialist,76,428
marksman,77,409
marksman,78,1095
marksman,79,783
scout,80,1150
demolition expert,81,12
grenadier,82,286
heavy gunner,83,16
scout,84,893
sniper,85,624
sniper,86,296
sniper,87,283
engineer,88,933
sniper,89,746
sniper,90,752
sniper,91,314
communications specialist,92,825
scout,93,1120
engineer,94,493
communications specialist,95,254
communications specialist,96,489
communications specialist,97,1032
demolition expert,98,431
demolition expert,99,448
engineer,100,261
reconnaissance,101,728
sniper,102,744
marksman,103,1093
sharpshooter,104,1192
engineer,105,864
sniper,106,1193
heavy gunner,107,1117
marksman,108,310
grenadier,109,745
engineer,110,901
engineer,111,323
demolition expert,112,659
sharpshooter,113,865
demolition expert,114,170
scout,115,590
sharpshooter,116,1150
engineer,117,33
marksman,118,780
grenadier,119,442
grenadier,120,365
demolition expert,121,72
demolition expert,122,95
sniper,123,409
sharpshooter,124,552
sniper,125,164
demolition expert,126,694
sniper,127,395
engineer,128,33
communications specialist,129,113
grenadier,130,417
grenadier,131,481
sharpshooter,132,788
sniper,133,413
sharpshooter,134,811
demolition expert,135,817
heavy gunner,136,277
scout,137,1179
grenadier,138,995
reconnaissance,139,255
demolition expert,140,1053
sharpshooter,141,510
grenadier,142,1169
sharpshooter,143,238
engineer,144,789
reconnaissance,145,978
sharpshooter,146,317
grenadier,147,16
heavy gunner,148,773
marksman,149,498
demolition expert,150,368
sharpshooter,151,1160
sharpshooter,152,492
sniper,153,619
sharpshooter,154,1167
grenadier,155,586
sharpshooter,156,545
sharpshooter,157,392
sharpshooter,158,347
engineer,159,424
marksman,160,838
marksman,161,934
demolition expert,162,278
marksman,163,302
reconnaissance,164,188
sniper,165,589
scout,166,227
sniper,167,1012
marksman,168,781
engineer,169,27
grenadier,170,1094
engineer,171,1029
engineer,172,494
marksman,173,702
engineer,174,1180
grenadier,175,1126
sharpshooter,176,191
marksman,177,446
grenadier,178,461
grenadier,179,893
demolition expert,180,1002
marksman,181,497
sniper,182,750
grenadier,183,963
scout,184,112
communications specialist,185,587
grenadier,186,401
sharpshooter,187,149
scout,188,87
heavy gunner,189,847
grenadier,190,771
reconnaissance,191,1011
sniper,192,516
marksman,193,60
engineer,194,498
reconnaissance,195,801
sharpshooter,196,892
communications specialist,197,989
demolition expert,198,1028
engineer,199,529
engineer,200,439
sharpshooter,201,737
grenadier,202,1176
scout,203,862
sniper,204,817
demolition expert,205,1106
engineer,206,1
communications specialist,207,692
heavy gunner,208,716
marksman,209,689
heavy gunner,210,930
sharpshooter,211,874
reconnaissance,212,108
grenadier,213,643
scout,214,1182
sniper,215,291
marksman,216,846
sniper,217,885
sharpshooter,218,481
scout,219,159
heavy gunner,220,862
marksman,221,195
engineer,222,1107
reconnaissance,223,908
grenadier,224,1005
marksman,225,1056
communications specialist,226,933
engineer,227,903
grenadier,228,25
reconnaissance,229,38
grenadier,230,374
sniper,231,953
communications specialist,232,1
sniper,233,1171
engineer,234,206
sniper,235,671
communications specialist,236,315
communications specialist,237,397
heavy gunner,238,876
reconnaissance,239,299
engineer,240,374
sniper,241,870
marksman,242,912
scout,243,235
grenadier,244,107
communications specialist,245,870
engineer,246,347
heavy gunner,247,282
sharpshooter,248,107
marksman,249,210
reconnaissance,250,728
engineer,251,260
scout,252,144
scout,253,1147
sniper,254,741
engineer,255,971
scout,256,345
demolition expert,257,483
sharpshooter,258,861
communications specialist,259,822
sharpshooter,260,1003
demolition expert,261,722
grenadier,262,170
scout,263,549
scout,264,1125
scout,265,483
marksman,266,815
communications specialist,267,1023
heavy gunner,268,1182
engineer,269,655
engineer,270,154
communications specialist,271,56
scout,272,365
marksman,273,1100
heavy gunner,274,29
demolition expert,275,43
heavy gunner,276,418
reconnaissance,277,82
sniper,278,672
demolition expert,279,828
communications specialist,280,467
sharpshooter,281,208
sniper,282,1000
communications specialist,283,1080
scout,284,621
communications specialist,285,1071
communications specialist,286,75
engineer,287,68
communications specialist,288,659
sniper,289,992
marksman,290,946
communications specialist,291,337
marksman,292,356
sniper,293,220
marksman,294,910
marksman,295,524
sniper,296,216
marksman,297,571
reconnaissance,298,458
engineer,299,324
engineer,300,212
scout,301,39
sharpshooter,302,656
reconnaissance,303,357
grenadier,304,1021
sniper,305,656
demolition expert,306,924
sharpshooter,307,741
demolition expert,308,1057
sniper,309,447
marksman,310,1185
demolition expert,311,848
reconnaissance,312,424
reconnaissance,313,778
marksman,314,798
grenadier,315,79
heavy gunner,316,914
reconnaissance,317,952
reconnaissance,318,15
engineer,319,651
communications specialist,320,1098
grenadier,321,260
reconnaissance,322,702
sharpshooter,323,937
communications specialist,324,987
demolition expert,325,534
reconnaissance,326,254
heavy gunner,327,501
scout,328,907
reconnaissance,329,354
demolition expert,330,282
engineer,331,930
sniper,332,635
sniper,333,1064
demolition expert,334,352
demolition expert,335,40
reconnaissance,336,477
sharpshooter,337,353
sharpshooter,338,22
communications specialist,339,1098
grenadier,340,823
marksman,341,461
grenadier,342,622
demolition expert,343,754
communications specialist,344,286
