team_number,name,religious,commander_id
1,Nyctereutes procyonoides,1,801
2,Tursiops truncatus,1,802
3,Procyon cancrivorus,0,803
4,Tamandua tetradactyla,1,804
5,Cebus albifrons,0,805
6,Dasyurus viverrinus,0,806
7,Bubo sp.,1,807
8,Gorilla gorilla,0,808
9,Trachyphonus vaillantii,0,809
10,Dasyurus maculatus,1,810
11,Fratercula corniculata,0,811
12,Eudyptula minor,0,812
13,Anastomus oscitans,1,813
14,Amblyrhynchus cristatus,1,814
15,Phoenicopterus ruber,0,815
16,Drymarchon corias couperi,0,816
17,Haematopus ater,0,817
18,Funambulus pennati,1,818
19,Acrobates pygmaeus,1,819
20,Ephippiorhynchus mycteria,1,820
21,Trichoglossus haematodus moluccanus,0,821
22,Semnopithecus entellus,1,822
23,Francolinus swainsonii,0,823
24,Pteronura brasiliensis,0,824
25,Lasiorhinus latifrons,0,825
26,Plectopterus gambensis,0,826
27,Redunca redunca,0,827
28,Terrapene carolina,1,828
29,Bettongia penicillata,0,829
30,Centrocercus urophasianus,0,830
31,Balearica pavonina,0,831
32,Axis axis,0,832
33,Hyaena hyaena,0,833
34,Hippotragus equinus,1,834
35,Ephippiorhynchus mycteria,0,835
36,Kobus defassa,0,836
37,Toxostoma curvirostre,0,837
38,Cracticus nigroagularis,1,838
39,Rhabdomys pumilio,1,839
40,Aonyx capensis,1,840
41,Coluber constrictor foxii,0,841
42,Phalacrocorax varius,1,842
43,Ourebia ourebi,1,843
44,Coluber constrictor,0,844
45,Neophron percnopterus,0,845
46,Pteronura brasiliensis,1,846
47,Bubalus arnee,0,847
48,Oxybelis fulgidus,1,848
49,Ursus americanus,1,849
50,Canis mesomelas,1,850
51,Anastomus oscitans,0,851
52,Alligator mississippiensis,1,852
53,Ursus americanus,0,853
54,Coluber constrictor,0,854
55,Acrantophis madagascariensis,1,855
56,Connochaetus taurinus,1,856
57,Lemur fulvus,1,857
58,Platalea leucordia,0,858
59,Macropus robustus,0,859
60,Parus atricapillus,0,860
61,Notechis semmiannulatus,0,861
62,Phoenicopterus chilensis,0,862
63,Tachyglossus aculeatus,0,863
64,Naja haje,0,864
65,Nyctea scandiaca,1,865
66,Mungos mungo,0,866
67,Ara chloroptera,1,867
68,Prionace glauca,1,868
69,Dromaeus novaehollandiae,0,869
70,Laniarius ferrugineus,1,870
71,Larus dominicanus,1,871
72,Ursus arctos,1,872
73,Psittacula krameri,1,873
74,Cochlearius cochlearius,0,874
75,Melursus ursinus,1,875
76,Varanus sp.,0,876
77,Choloepus hoffmani,1,877
78,Caiman crocodilus,0,878
79,Pitangus sulphuratus,0,879
80,Corvus brachyrhynchos,0,880
81,Erethizon dorsatum,0,881
82,Hymenolaimus malacorhynchus,1,882
83,Porphyrio porphyrio,0,883
84,Raphicerus campestris,1,884
85,Psittacula krameri,0,885
86,Libellula quadrimaculata,1,886
87,Vanellus chilensis,0,887
88,Varanus sp.,1,888
89,Tadorna tadorna,1,889
90,Spheniscus mendiculus,0,890
91,Anas punctata,0,891
92,Kobus leche robertsi,1,892
93,Echimys chrysurus,0,893
94,Coluber constrictor foxii,0,894
95,Bettongia penicillata,1,895
96,Hyaena hyaena,1,896
97,Genetta genetta,0,897
98,Zalophus californicus,1,898
99,Plectopterus gambensis,1,899
100,Bison bison,1,900
101,Buteo regalis,1,901
102,Bucorvus leadbeateri,0,902
103,Isoodon obesulus,1,903
104,Tiliqua scincoides,0,904
105,Dasyurus viverrinus,1,905
106,Ramphastos tucanus,1,906
107,Herpestes javanicus,0,907
108,Eutamias minimus,0,908
109,Ovis orientalis,1,909
110,Ara ararauna,1,910
111,Potamochoerus porcus,1,911
112,Naja nivea,0,912
113,Kobus defassa,0,913
114,Hymenolaimus malacorhynchus,1,914
115,Laniaurius atrococcineus,0,915
116,Junonia genoveua,0,916
117,Terathopius ecaudatus,1,917
118,Manouria emys,0,918
119,Propithecus verreauxi,0,919
120,Falco peregrinus,0,920
121,Corvus brachyrhynchos,1,921
122,Chelodina longicollis,0,922
123,Columba livia,0,923
124,Spilogale gracilis,0,924
125,Macropus fuliginosus,0,925
126,Buteo galapagoensis,1,926
127,Upupa epops,0,927
128,Bugeranus caruncalatus,1,928
129,Eunectes sp.,0,929
130,Helogale undulata,0,930
131,Dusicyon thous,1,931
132,Pteropus rufus,0,932
133,Funambulus pennati,1,933
134,Felis silvestris lybica,1,934
135,Colobus guerza,1,935
136,Ciconia episcopus,0,936
137,Kobus vardonii vardoni,0,937
138,Grus antigone,1,938
139,Melursus ursinus,0,939
140,Cervus duvauceli,1,940
141,Varanus sp.,1,941
142,Picoides pubescens,0,942
143,Platalea leucordia,0,943
144,Merops sp.,1,944
145,Phoeniconaias minor,0,945
146,unavailable,1,946
147,Heloderma horridum,1,947
148,Cathartes aura,0,948
149,Phalaropus fulicarius,0,949
150,Dendrohyrax brucel,1,950
151,Chordeiles minor,1,951
152,Ovis orientalis,1,952
153,Cathartes aura,1,953
154,Lemur fulvus,1,954
155,Paraxerus cepapi,0,955
156,Zalophus californicus,1,956
157,Chloephaga melanoptera,1,957
158,Dusicyon thous,1,958
159,Nannopterum harrisi,1,959
